group,model,learning_rate,ACC,AUC,F1,F1_0,MCC,avg
efficientnet,B0,lr0001,0.75085324,0.863743467711832,0.752542372881356,0.74914089347079,0.504645501231377,0.773720544935933
efficientnet,B0,lr0005,0.80546075,0.888484509145203,0.806779661016949,0.804123711340206,0.61408106926601,0.822377833227073
efficientnet,B1,lr0001,0.7883959,0.874195128779395,0.767790262172284,0.80564263322884,0.57762476486939,0.804967261323043
efficientnet,B1,lr0005,0.778157,0.870392403882045,0.760147601476014,0.793650793650793,0.556012903967263,0.796070850198497
efficientnet,B2,lr0001,0.7866894,0.880295819335573,0.776386404293381,0.796084828711256,0.572586142128797,0.805149904680922
efficientnet,B2,lr0005,0.8003413,0.884355169839492,0.802698145025295,0.797927461139896,0.60455625733798,0.817520040934735
efficientnet,B3,lr0001,0.8327645,0.914158734602463,0.831615120274914,0.833898305084745,0.667086481976711,0.849195980190096
efficientnet,B3,lr0005,0.80546075,0.896918159761104,0.789667896678966,0.819047619047619,0.611008863411067,0.823319771438645
efficientnet,B4,lr0001,0.7935154,0.874813363195222,0.796638655462184,0.790294627383015,0.591388647213562,0.810191273929441
efficientnet,B4,lr0005,0.81399316,0.894130272489735,0.808435852372583,0.819237147595356,0.627791683741683,0.829938454865703
efficientnet,B5,lr0001,0.7866894,0.866391377379619,0.789915966386554,0.783362218370883,0.577695200585336,0.803041312485945
efficientnet,B5,lr0005,0.8122867,0.905631765584173,0.810344827586207,0.814189189189189,0.62574622742934,0.831065119214848
efficientnet,B6,lr0001,0.78156996,0.875408268010451,0.759398496240601,0.8,0.564131801743644,0.799688525024575
efficientnet,B6,lr0005,0.7935154,0.886139884285181,0.782764811490125,0.803252032520325,0.586244156509135,0.81175884131004
efficientnet,B7,lr0001,0.8003413,0.900254292646509,0.804020100502512,0.796521739130434,0.60563689466515,0.820791175922406
efficientnet,B7,lr0005,0.81399316,0.898621220604703,0.814310051107325,0.813675213675213,0.63049705116739,0.831169634194187
efficientnet,M,lr0001,0.8020478,0.878744400895856,0.797909407665505,0.806020066889632,0.604397033168196,0.817384038407018
efficientnet,M,lr0005,0.7542662,0.855718085106382,0.744680851063829,0.763157894736842,0.507838745800671,0.774348480761478
efficientnet,S,lr0001,0.78327644,0.888997760358342,0.771171171171171,0.79416531604538,0.565707592871547,0.804092896802133
efficientnet,S,lr0005,0.7986348,0.884145203434117,0.786231884057971,0.809677419354838,0.596582773828056,0.815396138752191
inception,Inception,lr0001,0.7627986,0.856674598730869,0.760757314974182,0.764805414551607,0.526847873656709,0.781691973017003
inception,Inception,lr0005,0.778157,0.871687196715192,0.765342960288808,0.789644012944983,0.555442257478492,0.796510459737646
mobilenet,MobileNet,lr0001,0.67064846,0.788692142590518,0.572062084257206,0.732316227461858,0.359411108772439,0.68868489373916
mobilenet,MobileNet,lr0005,0.7303754,0.814914613661814,0.707407407407407,0.749999999999999,0.459880982733074,0.746527582487151
resnet,ResNet101,lr0001,0.8003413,0.885428331466965,0.795096322241681,0.805324459234608,0.600649444219411,0.817303027010592
resnet,ResNet101,lr0005,0.72525597,0.812546659201194,0.71301247771836,0.736497545008183,0.449548125973395,0.742417342982887
resnet,ResNet101,lr001,0.66382253,0.75878359462486,0.587002096436058,0.716546762589928,0.334580202055233,0.678689016935693
resnet,ResNet152,lr0001,0.7883959,0.871663867114595,0.785467128027681,0.791245791245791,0.577613664061985,0.805115903683812
resnet,ResNet152,lr0005,0.7064846,0.75936683463979,0.677902621722846,0.730407523510971,0.412057677820861,0.716038083756808
resnet,ResNet152,lr001,0.6348123,0.647396416573348,0.58203125,0.675757575757575,0.268005344892597,0.634800042955444
resnet,ResNet50,lr0001,0.7798635,0.884448488241881,0.770870337477797,0.788177339901477,0.559052229515605,0.800577156075791
resnet,ResNet50,lr0005,0.7201365,0.813444848824188,0.680933852140077,0.750759878419452,0.442457122823498,0.737300728159093
resnet,ResNet50,lr001,0.69453925,0.734987402015677,0.671559633027522,0.714513556618819,0.387543072335851,0.701874275565989
vgg,VGG16,lr0001,0.52047783,0.519515210899589,0.171091445427728,0.66266506602641,0.0180951095834876,0.476559421429094
vgg,VGG19,lr0001,0.51365185,0.468125933184023,0.223433242506811,0.645962732919254,0.0009268263133204,0.47032743435335
